product_sk,product_code,product_name,march_price,latest_month_price
1001,P100005,Thums Up Mango Juice 250g,103.45,114.37
1002,P100007,Vim Dishwash Bar 1kg,129.42,155.06
1003,P100019,Sunfeast Cookies 150g,62.95,74.65
1004,P100026,Dhara Rice Bran Oil 5L,304.63,315.91
1005,P100033,Gold Winner Mustard Oil 1L,763.12,828.62
1006,P100035,Huggies Diapers Small,1456.57,1810.38
1007,P100044,Mamypoko Baby Powder XL,737.05,737.05
1008,P100049,Britannia Cream Biscuit 60g,66.95,68.93
1009,P100057,McCain French Fries 1kg,215.95,233.39
1010,P100066,Bru Mango Juice 500g,251.22,251.22
1011,P100074,MDH Sambar Powder 200g,57.78,57.78
1012,P100077,Catch Sambar Powder 100g,181.42,173.95
1013,P100086,Heritage Ghee 1L,88.95,89.0
1014,P100095,Modern Rusk 6 pc,92.95,100.57
1015,P100100,Sumeru French Fries 400g,374.32,435.38
1016,P100106,Real Mango Juice 500g,287.42,318.86
1017,P100112,Bikano Khakhra 400g,91.95,95.15
1018,P100121,English Oven Pav Bun 400g,102.39,113.08
1019,P100131,Huggies Baby Powder Medium,624.57,667.83
1020,P100135,Eastern Coriander Powder 100g,67.67,72.29
1021,P100140,Perfetti Milk Chocolate 50g,57.95,58.05
1022,P100150,Everest Garam Masala 200g,280.8,280.8
1023,P100156,Aashirvaad Toor Dal 1kg,1576.32,1528.63
1024,P100164,Colgate Face Wash 180ml,581.13,594.91
1025,P100172,Modern Muffin Pack of 2,171.71,205.47
1026,P100178,Comfort Fabric Conditioner 500ml,427.16,480.34
1027,P100183,Pampers Diapers Large,1426.11,1466.16
1028,P100194,Nestle Candy Pack 25g,42.41,46.79
1029,P100198,Fortune Sunflower Oil 2L,156.66,162.72
1030,P100203,Aachi Sambar Powder 100g,241.95,272.1
1031,P100210,Huggies Baby Powder Small,1073.9,1073.9
1032,P100221,Mamypoko Baby Wipes Medium,140.95,139.88
1033,P100224,Milky Mist Cheese Slices 500ml,78.05,79.22
1034,P100233,Harvest Gold Muffin 6 pc,67.07,67.07
1035,P100239,Huggies Diapers Small,352.95,360.16
1036,P100250,Heritage Cheese Slices 500g,526.95,544.91
1037,P100255,Sundrop Mustard Oil 1L,1250.31,1250.31
1038,P100260,India Gate Toor Dal 5kg,1124.2,1120.33
1039,P100268,Local Bakery Rusk 400g,197.0,197.0
1040,P100276,Gold Winner Mustard Oil 2L,937.37,965.56
1041,P100281,Milky Mist Paneer 500ml,449.95,485.13
1042,P100287,Pampers Diapers Large,218.95,240.45
1043,P100298,Nandini Curd 500ml,47.87,53.95
1044,P100305,India Gate Toor Dal 1kg,771.81,771.81
1045,P100308,Pampers Baby Powder Medium,277.54,328.66
1046,P100319,English Oven Sandwich Bread Pack of 2,48.05,54.97
1047,P100326,Sunfeast Marie Gold 400g,44.54,47.79
1048,P100330,Amul Cheese Slices 200g,188.77,188.77
1049,P100339,Cadbury Chewing Gum 50g,278.86,299.99
1050,P100348,Milky Mist Cheese Slices 500g,478.95,527.9
1051,P100354,Huggies Baby Wipes XL,182.63,182.63
1052,P100362,24 Mantra Sona Masoori Rice 10kg,270.89,282.8
1053,P100367,Himalaya Body Lotion 100g,537.9,537.9
1054,P100375,Catch Turmeric Powder 500g,163.45,163.45
1055,P100380,Classmate A4 Paper Ream Pack of 5,136.58,136.58
1056,P100387,Local Bakery Pav Bun Pack of 2,104.82,116.37
1057,P100394,McCain Idli Batter 1kg,320.36,320.36
1058,P100403,Cello A4 Paper Ream 1 pc,71.73,71.79
