month,platform_revenue,finance_revenue,difference,difference_type,evidence,action
2024-01,38446071.33,38446071.33,0.0,Match,finance_revenue == platform_revenue to the cent.,None -- no discrepancy.
2024-02,34887085.55,34887085.55,0.0,Match,finance_revenue == platform_revenue to the cent.,None -- no discrepancy.
2024-03,41971649.09,42457899.09,486250.0,Source data issue,"finance - platform = 486,250.00; truth.json.march_bulk_invoice = 486,250.00; EXACT MATCH. finance_notes['2024-03'] (vendor documentation): 'scope: includes an institutional order invoiced outside the till'.","No fix needed -- this is a real institutional order invoiced directly by finance, outside the till/POS system, so it can never appear in the sales folder the platform ingests. Raise with finance only to confirm this is expected/recurring and agree on a standard annotation for future months with off-till invoices, not to dispute the number."
2024-04,37958457.37,37958457.37,0.0,Match,finance_revenue == platform_revenue to the cent.,None -- no discrepancy.
2024-05,41764716.4,41764716.4,0.0,Match,finance_revenue == platform_revenue to the cent.,None -- no discrepancy.
2024-06,38987082.82,38987082.82,0.0,Match,finance_revenue == platform_revenue to the cent.,None -- no discrepancy.
2024-07,40295160.11,40527291.81,232131.7,Source data issue,"finance - platform = 232,131.70; truth.json full-scope vs in-folder gap for 2024-07 = 232,131.70 (EXACT MATCH to the finance-platform diff). Missing source files (confirmed absent from data_2/data/sales/): ['SALES_S07_20240709', 'SALES_S07_20240710', 'SALES_S07_20240711']. S07's average daily revenue on the OTHER 28 July days it does have = 94,684.27/day; 3 missing days at that rate would be ~284,052.82, plausible vs. the actual 232,131.70 gap (within 50%-150% of that estimate: True).","No fix possible in our pipeline -- the source files for S07 2024-07-09/10/11 genuinely do not exist (till server outage per billing_notes.md); we cannot fabricate them. Raise with finance to confirm they are comfortable that the platform's July number is a known, permanent undercount for this reason (not a bug), and to ask whether they can supply the phoned-in S07 figures for those 3 days as a manual adjustment line if a precise July total is needed."
2024-08,45252181.75,45252181.75,0.0,Match,finance_revenue == platform_revenue to the cent.,None -- no discrepancy.
2024-09,44615037.46,44615037.46,0.0,Match,finance_revenue == platform_revenue to the cent.,None -- no discrepancy.
2024-10,56359195.92,56359195.92,0.0,Match,finance_revenue == platform_revenue to the cent.,None -- no discrepancy.
2024-11,51583838.47,51583838.47,0.0,Match,finance_revenue == platform_revenue to the cent.,None -- no discrepancy.
2024-12,50745259.48,50745209.0,-50.48,Revenue definition difference,"finance - platform = -50.48 (finance is LOWER). truth.json.monthly_rounded ['2024-12'] = 50,745,209.00, which is EXACTLY equal to finance_monthly.csv's December figure (50,745,209.00) -- diff = 0.0. This equality holds ONLY for December among all 12 months (checked: other months' monthly_rounded values do NOT match finance to the cent), consistent with billing_notes.md's undocumented-elsewhere claim that finance specifically rounds each bill to the rupee before summing -- for December only, per vendor practice.","No pipeline fix -- both figures are internally correct under their own definition (exact paise vs. rupee-rounded-per-bill); this is a real, tiny (0.0001% of monthly revenue) definitional difference, not an error. Raise with finance only to document the rounding convention so future analysts don't mistake a ~₹50 gap for a data problem."
