==============================================================================
08_dashboard_revenue_by_store_month.sql
==============================================================================
store_id               store_name  year  month year_month  total_net_revenue
     S01      Annapurna Jayanagar  2024      1    2024-01         4371424.37
     S02    Annapurna Koramangala  2024      1    2024-01         3315204.12
     S03        Annapurna T Nagar  2024      1    2024-01         4332236.60
     S04     Annapurna Kukatpally  2024      1    2024-01         2865432.49
     S05   Annapurna Kochi Marine  2024      1    2024-01         2323647.27
     S06   Annapurna Andheri West  2024      1    2024-01         3901762.04
     S07          Annapurna Baner  2024      1    2024-01         2620851.37
     S08      Annapurna Satellite  2024      1    2024-01         2637970.96
     S09       Annapurna Vaishali  2024      1    2024-01         1963723.67
     S10 Annapurna Rajouri Garden  2024      1    2024-01         4400597.13
     S11    Annapurna Gomti Nagar  2024      1    2024-01         2440662.53
     S12      Annapurna Salt Lake  2024      1    2024-01         3272558.78
     S01      Annapurna Jayanagar  2024      2    2024-02         3802842.23
     S02    Annapurna Koramangala  2024      2    2024-02         2990177.14
     S03        Annapurna T Nagar  2024      2    2024-02         4228954.16
     S04     Annapurna Kukatpally  2024      2    2024-02         2457922.67
     S05   Annapurna Kochi Marine  2024      2    2024-02         2090021.88
     S06   Annapurna Andheri West  2024      2    2024-02         3549624.07
     S07          Annapurna Baner  2024      2    2024-02         2249072.06
     S08      Annapurna Satellite  2024      2    2024-02         2405695.98
     S09       Annapurna Vaishali  2024      2    2024-02         1878900.76
     S10 Annapurna Rajouri Garden  2024      2    2024-02         4080868.56
     S11    Annapurna Gomti Nagar  2024      2    2024-02         2183091.62
     S12      Annapurna Salt Lake  2024      2    2024-02         2969914.42
     S01      Annapurna Jayanagar  2024      3    2024-03         4408976.65
     S02    Annapurna Koramangala  2024      3    2024-03         3680365.59
     S03        Annapurna T Nagar  2024      3    2024-03         4907538.80
     S04     Annapurna Kukatpally  2024      3    2024-03         3259373.38
     S05   Annapurna Kochi Marine  2024      3    2024-03         2517068.94
     S06   Annapurna Andheri West  2024      3    2024-03         4262091.73
     S07          Annapurna Baner  2024      3    2024-03         2825068.65
     S08      Annapurna Satellite  2024      3    2024-03         2751447.89
     S09       Annapurna Vaishali  2024      3    2024-03         2363742.31
     S10 Annapurna Rajouri Garden  2024      3    2024-03         4791561.32
     S11    Annapurna Gomti Nagar  2024      3    2024-03         2669840.27
     S12      Annapurna Salt Lake  2024      3    2024-03         3534573.56
     S01      Annapurna Jayanagar  2024      4    2024-04         4199964.44
     S02    Annapurna Koramangala  2024      4    2024-04         3592952.59
     S03        Annapurna T Nagar  2024      4    2024-04         4355128.93
     S04     Annapurna Kukatpally  2024      4    2024-04         2858197.32
     S05   Annapurna Kochi Marine  2024      4    2024-04         2173059.89
     S06   Annapurna Andheri West  2024      4    2024-04         3741880.74
     S07          Annapurna Baner  2024      4    2024-04         2598224.43
     S08      Annapurna Satellite  2024      4    2024-04         2520194.03
     S09       Annapurna Vaishali  2024      4    2024-04         2113369.33
