notice_id_a,notice_id_b,label,choice1_unigram_raw,choice2_bigram_denoised
N010018,N010020,same,0.3008658008658009,0.23529411764705882
N007876,N008565,different,0.4045261669024045,0.0
N005451,N005452,same,0.4024024024024024,0.2717391304347826
N008464,N010231,different,0.2908496732026144,0.0
N000420,N001104,different,0.4723618090452261,0.15763546798029557
N004781,N005219,different,0.47959183673469385,0.0
N007021,N010547,different,0.47701149425287354,0.0
N004413,N008734,different,0.3257042253521127,0.0189873417721519
N007783,N007784,same,0.38028169014084506,0.24
N001104,N001107,same,0.38497652582159625,0.21830985915492956
N006958,N006959,same,0.524,0.6724137931034483
N003107,N007431,different,0.5326732673267327,0.0
N010497,N011446,different,0.5700389105058365,0.0
N002561,N003545,different,0.3044280442804428,0.0
N004217,N007965,different,0.5553319919517102,0.0
N006099,N006100,same,0.7063655030800822,0.9166666666666666
N009010,N009562,different,0.3546099290780142,0.0
N005332,N005333,same,0.9283154121863799,0.6282051282051282
N008288,N010448,different,0.595,0.0
N002391,N009409,different,0.3576388888888889,0.0
N001001,N007428,different,0.3984375,0.007518796992481203
N002919,N002920,same,0.9784688995215312,0.9834710743801653
N007223,N008301,different,0.44171779141104295,0.0
N005352,N007867,different,0.31597845601436264,0.0
N007893,N007894,same,0.940251572327044,0.9506172839506173
N002670,N007972,different,0.5840867992766727,0.0
N006038,N008642,different,0.3671875,0.0
N004523,N007453,different,0.4279379157427938,0.0
N006491,N010563,different,0.5585585585585585,0.006024096385542169
N002902,N010086,different,0.4472168905950096,0.0049261083743842365
N001013,N003939,different,0.49375,0.009216589861751152
N002612,N004456,different,0.3321917808219178,0.0
N003308,N005945,different,0.30260047281323876,0.0
N002811,N007128,different,0.4748201438848921,0.0
N007478,N011108,different,0.3504,0.0
N001760,N001761,same,0.9833887043189369,0.9583333333333334
N004944,N009237,different,0.3403141361256545,0.025210084033613446
N008261,N008262,same,0.7163265306122449,0.8846153846153846
N003630,N009918,different,0.4134831460674157,0.0
N003948,N008608,different,0.3200663349917081,0.006060606060606061
N008997,N008998,same,0.6396648044692738,0.7608695652173914
N004789,N005917,different,0.5504032258064516,0.0
N003672,N008071,different,0.6416184971098265,0.09782608695652174
N009235,N009236,same,0.508833922261484,0.3728813559322034
N001817,N002597,different,0.5083798882681564,0.006329113924050633
N000985,N000986,same,0.29540481400437635,0.22772277227722773
N000993,N010660,different,0.4539614561027837,0.0
N003269,N010318,different,0.512720156555773,0.0
N011750,N011966,different,0.5158562367864693,0.0
N010357,N010360,same,0.9957805907172996,0.9411764705882353
N001163,N001165,same,0.9906103286384976,0.9411764705882353
N011255,N011732,different,0.5119825708061002,0.006134969325153374
N007191,N011803,different,0.2950257289879931,0.040983606557377046
N003422,N008330,different,0.3327974276527331,0.0055248618784530384
N004762,N011915,different,0.5566600397614314,0.0
N006325,N006326,same,0.9460916442048517,0.5517241379310345
N003658,N003661,same,0.9634551495016611,0.9508196721311475
N010135,N010136,same,0.9940652818991098,0.9777777777777777
N003079,N011928,different,0.5425531914893617,0.0
N000268,N009659,different,0.6313253012048192,0.20930232558139536
N001173,N001174,same,0.6997578692493946,0.8208955223880597
N004065,N007546,different,0.5333333333333333,0.0
N000702,N007932,different,0.3095623987034036,0.0
N009387,N009517,different,0.4793388429752066,0.0
N000358,N007166,different,0.44541484716157204,0.012987012987012988
N007841,N011872,different,0.3245192307692308,0.006535947712418301
N000576,N000577,same,0.2710084033613445,0.28
N003372,N008041,different,0.47105788423153694,0.0
N006470,N009323,different,0.5308411214953271,0.006802721088435374
N001685,N001686,same,0.7215189873417721,0.8823529411764706
N002358,N005690,different,0.5084388185654009,0.13306451612903225
N002216,N002218,same,0.9626168224299065,0.4846153846153846
N003837,N007101,different,0.522202486678508,0.005847953216374269
N008995,N010419,different,0.4583333333333333,0.12340425531914893
N001394,N003813,different,0.3085339168490153,0.0
N003816,N009648,different,0.5708154506437768,0.0
N000883,N003126,different,0.3088803088803089,0.0
N010748,N011807,different,0.5079365079365079,0.0
N006050,N007874,different,0.3704268292682927,0.0
N011687,N011688,same,0.9934640522875817,0.9577464788732394
N000036,N011140,different,0.41348973607038125,0.0
N000051,N000052,same,0.9893992932862191,0.8571428571428571
N001105,N007889,different,0.2967032967032967,0.0
N004491,N004492,same,0.6584821428571429,0.8311688311688312
N004978,N009682,different,0.37060041407867494,0.0049261083743842365
N008379,N008380,same,0.9333333333333333,0.9473684210526315
N001189,N011628,different,0.32196969696969696,0.006172839506172839
N000183,N001889,different,0.6295399515738499,0.21705426356589147
N006225,N006227,same,0.32195121951219513,0.3246753246753247
N002447,N007313,different,0.40369393139841686,0.0
N005321,N005322,same,0.957983193277311,0.9433962264150944
N004563,N004564,same,0.5522682445759369,0.5892857142857143
N001497,N001498,same,0.62708719851577,0.8351648351648352
N002729,N008105,different,0.48210526315789476,0.0
N000314,N008220,different,0.4169139465875371,0.004739336492890996
N001902,N009227,different,0.6,0.07317073170731707
N001376,N009439,different,0.5515267175572519,0.0
N003019,N009498,different,0.38212634822804314,0.022222222222222223
N003883,N004988,different,0.3411580594679186,0.0
N004822,N007764,different,0.4397993311036789,0.0
N000255,N007615,different,0.5009708737864078,0.0
N005676,N011302,different,0.4084158415841584,0.007246376811594203
N003403,N007889,different,0.33104631217838765,0.0
N002476,N005891,different,0.33613445378151263,0.0
N004988,N009224,different,0.3786259541984733,0.0
N001677,N011151,different,0.37059724349157736,0.0
N006731,N006732,same,0.9572368421052632,0.90625
N002200,N009548,different,0.34169278996865204,0.0
N001873,N001874,same,0.9416666666666667,0.9651162790697675
N006820,N010293,different,0.4645308924485126,0.0
N004096,N007060,different,0.575,0.005076142131979695
N003135,N003543,different,0.5248380129589633,0.0
N006564,N007387,different,0.4842105263157895,0.0
N004906,N008027,different,0.4968814968814969,0.005319148936170213
N000145,N007083,different,0.33068362480127184,0.005405405405405406
N008087,N008088,same,0.4518348623853211,0.5204081632653061
N007153,N007701,different,0.49635036496350365,0.005813953488372093
N010825,N010826,same,0.7110609480812641,0.872093023255814
N006905,N006906,same,0.9919786096256684,1.0
N001863,N002786,different,0.3694968553459119,0.0
N001735,N005403,different,0.5433884297520661,0.00684931506849315
N009982,N009985,same,0.34782608695652173,0.2746478873239437
N008801,N011616,different,0.4370860927152318,0.13983050847457626
N003201,N011795,different,0.5416666666666666,0.005813953488372093
N009040,N010335,different,0.3188405797101449,0.013422818791946308
N000276,N000278,same,0.3481675392670157,0.12582781456953643
N001338,N001340,same,0.994413407821229,0.9431818181818182
N011118,N011119,same,0.9413265306122449,0.608433734939759
N000768,N000770,same,0.6945945945945946,0.7920792079207921
N001515,N006807,different,0.4693446088794926,0.010582010582010581
N009100,N009150,different,0.43004115226337447,0.005319148936170213
N000437,N010413,different,0.3217665615141956,0.0
N008497,N008498,same,0.6651053864168618,0.8589743589743589
N007145,N007146,same,0.6292682926829268,0.8333333333333334
N007053,N010560,different,0.4826325411334552,0.00625
N008280,N010910,different,0.45336225596529284,0.1487603305785124
N001364,N001365,same,0.9803370786516854,0.55
N001075,N009237,different,0.5797752808988764,0.0196078431372549
N003268,N007976,different,0.6205733558178752,0.0
N004168,N004169,same,0.753968253968254,0.9256198347107438
N003317,N011369,different,0.4146825396825397,0.0
N002748,N011595,different,0.5252525252525253,0.015625
N000873,N002331,different,0.31386861313868614,0.05517241379310345
N009379,N009380,same,0.9913294797687862,0.968421052631579
N007382,N009541,different,0.3612565445026178,0.0
N006828,N011568,different,0.3684210526315789,0.0
N005210,N009890,different,0.3955056179775281,0.0072992700729927005
N009046,N010077,different,0.4495798319327731,0.0
N000659,N006306,different,0.3245469522240527,0.0
N005472,N007849,different,0.3360258481421648,0.0
N007681,N009555,different,0.552772808586762,0.00684931506849315
N007201,N010116,different,0.45476190476190476,0.02054794520547945
N002665,N004599,different,0.36335403726708076,0.0
N007557,N008376,different,0.6195462478184991,0.010309278350515464
N000189,N001381,different,0.4578059071729958,0.0
N004220,N007941,different,0.5329566854990584,0.005847953216374269
N002036,N008928,different,0.24796084828711257,0.006097560975609756
N003662,N010020,different,0.5079365079365079,0.0
N004066,N006280,different,0.4289044289044289,0.0
N005647,N010086,different,0.40869565217391307,0.0
N002586,N006131,different,0.4143763213530655,0.0
N004043,N004969,different,0.26621160409556316,0.019230769230769232
N010853,N010857,same,0.7904328018223234,0.7386363636363636
N000202,N007774,different,0.48654708520179374,0.0
N002852,N002853,same,0.6981981981981982,0.8481012658227848
N008049,N010976,different,0.4220430107526882,0.0
N010028,N010039,different,0.524731182795699,0.007936507936507936
N004028,N010035,different,0.48128342245989303,0.0
N001702,N010946,different,0.3642105263157895,0.0
N008791,N008803,different,0.5645472061657033,0.006097560975609756
N000684,N004640,different,0.48434237995824636,0.11857707509881422
N011929,N011930,same,0.5469613259668509,0.711340206185567
N003860,N004075,different,0.5131313131313131,0.0
N003884,N007431,different,0.34196891191709844,0.0
N002204,N007953,different,0.4133949191685912,0.0
N005664,N005666,same,0.9141914191419142,0.8243243243243243
N003982,N006359,different,0.47731397459165154,0.0
N002817,N002819,same,0.4025157232704403,0.4084507042253521
N002626,N002629,same,0.630272952853598,0.8360655737704918
N000262,N002156,different,0.6024734982332155,0.0
N000131,N003422,different,0.5200845665961945,0.007633587786259542
N000852,N010531,different,0.28991596638655465,0.07692307692307693
N003659,N005484,different,0.35972461273666095,0.0
N001115,N009773,different,0.6102783725910065,0.14857142857142858
N010941,N010942,same,0.9435897435897436,0.9705882352941176
N008101,N008840,different,0.413953488372093,0.0
N005983,N009546,different,0.5687022900763359,0.0
N001180,N006053,different,0.5286259541984732,0.010869565217391304
N004248,N005277,different,0.41299303944315546,0.0
N006025,N010086,different,0.4780114722753346,0.0
N002970,N007570,different,0.5548780487804879,0.0
N002439,N007343,different,0.5131313131313131,0.0
N001488,N005914,different,0.4641255605381166,0.019230769230769232
N001624,N006762,different,0.3095890410958904,0.0
N004870,N006313,different,0.4968684759916493,0.0
N011017,N011020,same,0.662004662004662,0.8405797101449275
N002389,N002391,same,0.7002341920374707,0.8591549295774648
N000672,N002056,different,0.3265993265993266,0.0
N003476,N004605,different,0.5010893246187363,0.0
N008022,N010492,different,0.5708661417322834,0.0
N009775,N009854,different,0.28440366972477066,0.0
N001443,N010092,different,0.518783542039356,0.0
N008152,N008153,same,0.95,0.9347826086956522
N004151,N009894,different,0.3580441640378549,0.010416666666666666
N009151,N011771,different,0.5437100213219617,0.0
N004672,N008166,different,0.6374501992031872,0.014388489208633094
N005081,N007027,different,0.3722627737226277,0.013333333333333334
N002173,N008545,different,0.5071574642126789,0.0
N003781,N003783,same,0.9398280802292264,0.7843137254901961
N002084,N007552,different,0.44416243654822335,0.14795918367346939
N004001,N004002,same,0.5308151093439364,0.2878787878787879
N009163,N009439,different,0.4341880341880342,0.0
N002426,N003338,different,0.3328025477707006,0.0
N006423,N006425,same,0.9798488664987406,0.9545454545454546
N007876,N009829,different,0.6089285714285714,0.006060606060606061
N007687,N009311,different,0.6070763500931099,0.0
N001746,N002955,different,0.2620817843866171,0.02608695652173913
N008284,N008285,same,0.7122736418511066,0.8645833333333334
N001309,N011869,different,0.29306930693069305,0.05673758865248227
N002589,N004081,different,0.34686346863468637,0.0
N005300,N006349,different,0.550755939524838,0.014184397163120567
N009455,N009456,same,0.6883116883116883,0.8571428571428571
N004081,N010560,different,0.34050179211469533,0.0
N004306,N004307,same,0.9890510948905109,0.9827586206896551
N000884,N011090,different,0.4905263157894737,0.007751937984496124
N000010,N003634,different,0.3385579937304075,0.0
N002225,N011649,different,0.44835164835164837,0.0
N001484,N003224,different,0.2805755395683453,0.0
N008411,N008412,same,0.43902439024390244,0.44642857142857145
N006804,N010502,different,0.38461538461538464,0.0
N009437,N010826,different,0.5187265917602997,0.0
N000335,N007009,different,0.569060773480663,0.0
N002857,N005654,different,0.46346555323590816,0.01680672268907563
N000078,N007325,different,0.5238095238095238,0.0
N000864,N005773,different,0.4261954261954262,0.011111111111111112
N007718,N008135,different,0.5263157894736842,0.006329113924050633
N006976,N010778,different,0.5118243243243243,0.0
N002774,N011414,different,0.46261682242990654,0.16990291262135923
N004762,N010111,different,0.5633802816901409,0.006211180124223602
N003908,N003909,same,0.3762575452716298,0.24603174603174602
N000664,N000666,same,0.5880893300248139,0.7666666666666667
N004323,N009954,different,0.43333333333333335,0.0
N010390,N011580,different,0.30616740088105726,0.0
N004880,N004881,same,0.9460154241645244,0.9603960396039604
N000818,N006620,different,0.33810375670840787,0.013071895424836602
N001043,N002862,different,0.5463709677419355,0.0
N000640,N011658,different,0.37652439024390244,0.0
N008018,N008676,different,0.263653483992467,0.008620689655172414
N002685,N002686,same,0.6190476190476191,0.9135802469135802
N000449,N010133,different,0.44047619047619047,0.014705882352941176
N004683,N007002,different,0.344,0.006535947712418301
N010844,N011602,different,0.4202586206896552,0.0
N002440,N002443,same,0.4,0.2976190476190476
N001357,N003372,different,0.45849802371541504,0.0
N010856,N010857,same,0.7366071428571429,0.8658536585365854
N005262,N005263,same,0.458628841607565,0.3508771929824561
N000070,N004969,different,0.6362068965517241,0.01015228426395939
N003615,N009126,different,0.5876865671641791,0.0051813471502590676
N003236,N006862,different,0.32370820668693007,0.0
N001257,N005818,different,0.34415584415584416,0.0
N001027,N005073,different,0.38675213675213677,0.0
N002169,N011831,different,0.44956140350877194,0.0
N002691,N005271,different,0.3651877133105802,0.00819672131147541
N005141,N007639,different,0.40772532188841204,0.006134969325153374
N000675,N005669,different,0.5922671353251318,0.010416666666666666
N005337,N011060,different,0.3005893909626719,0.00847457627118644
N001699,N004758,different,0.3169984686064318,0.005847953216374269
N007012,N009759,different,0.34124087591240876,0.0
N004855,N004856,same,0.7330595482546202,0.8877551020408163
N010491,N010492,same,0.7040618955512572,0.5033112582781457
N003270,N006319,different,0.3500837520938023,0.0
N003144,N011859,different,0.4876660341555977,0.0
N000889,N000890,same,0.7293666026871402,0.5923566878980892
N001432,N001435,same,0.7415966386554622,0.8691588785046729
N008926,N010073,different,0.36236391912908245,0.0
N006903,N010093,different,0.37362637362637363,0.0
N000486,N000487,same,0.9793103448275862,0.9818181818181818
N006198,N007366,different,0.32620320855614976,0.0
N004084,N004085,same,0.7515400410677618,0.8518518518518519
N007902,N007976,different,0.6423728813559322,0.005291005291005291
N002019,N002021,same,0.6394052044609665,0.7037037037037037
N008725,N008728,same,0.7422480620155039,0.8857142857142857
N001957,N001958,same,0.9807692307692307,0.9868421052631579
N005497,N008336,different,0.31343283582089554,0.0
N009301,N009302,same,0.992,0.9193548387096774
N008499,N008952,different,0.5591836734693878,0.005154639175257732
N002300,N003674,different,0.353322528363047,0.0
N009680,N011001,different,0.2781569965870307,0.0
N005556,N006568,different,0.29605263157894735,0.07207207207207207
N003574,N007121,different,0.4357638888888889,0.009708737864077669
N004353,N004355,same,0.6869565217391305,0.8695652173913043
N004438,N004442,same,0.8244047619047619,0.8902439024390244
N004678,N004680,same,0.8978102189781022,0.6530612244897959
N000056,N009414,different,0.28146853146853146,0.0
